code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
2359,WUXI APPTEC,HSI,2359.HK,Y,N,HSI,
2367,GIANT BIOGENE,N/A,2367.HK,N,N,N/A,
2378,PRU,N/A,2378.HK,N,N,N/A,
2380,CHINA POWER,N/A,2380.HK,N,N,N/A,
2382,SUNNY OPTICAL,HSI,2382.HK,Y,Y,BOTH,
2386,SINOPEC SEG,N/A,2386.HK,N,N,N/A,
2388,BOC HONG KONG,HSI,2388.HK,Y,N,HSI,
2400,XD INC,N/A,2400.HK,N,N,N/A,
2402,SINOHYTEC,N/A,2402.HK,N,N,N/A,
2410,TYK MEDICINES-B,N/A,2410.HK,N,N,N/A,
2419,DEKON AGR,N/A,2419.HK,N,N,N/A,
2423,BEKE-W,HSI,2423.HK,Y,N,HSI,
2431,MINIEYE,N/A,2431.HK,N,N,N/A,
2432,DOBOT,N/A,2432.HK,N,N,N/A,
2436,LX TECHNOLOGY,N/A,2436.HK,N,N,N/A,
2442,EASY SMART GP,N/A,2442.HK,N,N,N/A,
2460,CR BEVERAGE,N/A,2460.HK,N,N,N/A,
2465,LOPAL TECH,N/A,2465.HK,N,N,N/A,
2473,XXF,N/A,2473.HK,N,N,N/A,
2476,VGT,N/A,2476.HK,N,N,N/A,
2477,WELLCELL H-NEW,N/A,2477.HK,N,N,N/A,
2488,LAUNCH TECH,N/A,2488.HK,N,N,N/A,
2493,MABWELL-B,N/A,2493.HK,N,N,N/A,
2498,ROBOSENSE,N/A,2498.HK,N,N,N/A,
2507,CIRRUS,N/A,2507.HK,N,N,N/A,
2509,QYUNS-B,N/A,2509.HK,N,N,N/A,
