1,CKH HOLDINGS,HSI
2,CLP HOLDINGS,HSI
3,HK & CHINA GAS,HSI
4,WHARF HOLDINGS,N/A
5,HSBC HOLDINGS,HSI
6,POWER ASSETS,HSI
8,PCCW,N/A
12,HENDERSON LAND,HSI
13,HUTCHMED,N/A
14,HYSAN DEV,N/A
16,SHK PPT,HSI
17,NEW WORLD DEV,N/A
19,SWIRE PACIFIC A,N/A
20,SENSETIME-W,N/A
27,GALAXY ENT,HSI
31,CHINA AEROSPACE,N/A
38,FIRST TRACTOR,N/A
66,MTR CORPORATION,HSI
68,MANYCORE TECH,N/A
81,CH OVS G OCEANS,N/A
83,SINO LAND,N/A
100,MINIMAX-W,N/A
101,HANG LUNG PPT,HSI
107,SICHUAN EXPRESS,N/A
108,GR LIFE STYLE,N/A
116,CHOW SANG SANG,N/A
117,TIANLI HOLDINGS,N/A
119,POLY PROPERTY,N/A
123,YUEXIU PROPERTY,N/A
133,CHINA MERCHANTS,N/A
135,KUNLUN ENERGY,N/A
136,CHINA RUYI,N/A
142,FIRST PACIFIC,N/A
144,CHINA MER PORT,N/A
148,KINGBOARD HLDG,N/A
152,SHENZHEN INT'L,N/A
165,CHINA EB LTD,N/A
168,TSINGTAO BREW,N/A
175,GEELY AUTO,HSI
177,JIANGSU EXPRESS,N/A
179,JOHNSON ELEC H,N/A
182,CONCORD NE,N/A
187,JINGCHENG MAC,N/A
189,DONGYUE GROUP,N/A
200,MELCO INT'L DEV,N/A
220,U-PRESID CHINA,N/A
241,ALI HEALTH,HSI
257,EB ENVIRONMENT,N/A
259,YEEBO (INT'L H),N/A
267,CITIC,HSI
268,KINGDEE INT'L,N/A
270,GUANGDONG INV,N/A
285,BYD ELECTRONIC,HSI
288,WH GROUP,HSI
290,GOFINTECH QUANT,N/A
291,CHINA RES BEER,HSI
293,CATHAY PAC AIR,N/A
297,SINOFERT,N/A
300,MIDEA GROUP,HSI
303,VTECH HOLDINGS,N/A
316,OOIL,HSI
317,COMEC,N/A
322,TINGYI,HSI
323,MAANSHAN IRON,N/A
325,BLOKS,N/A
326,CN STAR ENT-2K,N/A
336,HUABAO INTL,N/A
338,SHANGHAI PECHEM,N/A
340,TONGGUAN GOLD,N/A
354,CHINASOFT INT'L,N/A
358,JIANGXI COPPER,N/A
363,SHANGHAI IND H,N/A
365,SINO ICT,N/A
371,BJ ENT WATER,N/A
376,YUNFENG FIN,N/A
384,CHINA GAS HOLD,N/A
386,SINOPEC CORP,HSI
388,HKEX,HSI
390,CHINA RAILWAY,N/A
392,BEIJING ENT,N/A
400,INGDAN,N/A
425,MINTH GROUP,N/A
460,SIHUAN PHARM,N/A
465,FUTONG TECH,N/A
467,UNITEDENERGY GP,N/A
470,WUXI LEAD,N/A
501,OMNIVISION,N/A
506,CHINA FOODS,N/A
512,GRAND PHARMA,N/A
522,ASMPT,N/A
525,GUANGSHEN RAIL,N/A
546,FUFENG GROUP,N/A
551,YUE YUEN IND,N/A
552,CHINACOMSERVICE,N/A
553,NANJING PANDA,N/A
558,LK TECH,N/A
564,ZCZL,N/A
565,ART GROUP HOLD,N/A
568,SHANDONG MOLONG,N/A
570,TRAD CHI MED,N/A
576,ZHEJIANGEXPRESS,N/A
580,SUN.KING TECH,N/A
581,CHINA ORIENTAL,N/A
586,CONCH VENTURE,N/A
588,BEIJING N STAR,N/A
590,LUK FOOK HOLD,N/A
595,AV CONCEPT HOLD,N/A
596,INSPUR DIGI ENT,N/A
598,SINOTRANS,N/A
600,AXERA,N/A
622,OSHIDORI,N/A
628,TONGTONG AI SOC,N/A
631,SANY INT'L,N/A
638,FIBOCOM,N/A
639,SHOUGANG RES,N/A
650,PRODUCTIVE TECH,N/A
656,FOSUN INTL,N/A
659,CTF SERVICES,N/A
666,REPT BATTERO,N/A
667,CHINA EAST EDU,N/A
669,TECHTRONIC IND,HSI
670,CHINA EAST AIR,N/A
679,ASIA TELE-NET,N/A
683,KERRY PPT,N/A
688,CHINA OVERSEAS,HSI
695,DONGWU CEMENT,N/A
696,TRAVELSKY TECH,N/A
697,SHOUCHENG,N/A
699,JOYSON ELEC,N/A
700,TENCENT,HSI
719,SHANDONG XINHUA,N/A
728,CHINA TELECOM,HSI
731,C&D NEWIN,N/A
753,AIR CHINA,N/A
762,CHINA UNICOM,HSI
763,ZTE,N/A
772,CHINA LIT,N/A
780,TONGCHENGTRAVEL,N/A
788,CHINA TOWER,N/A
800,WERIDE-W,N/A
811,XINHUA WINSHARE,N/A
813,SHIMAO GROUP,N/A
817,CHINA JINMAO,N/A
819,TIANNENG POWER,N/A
826,TIANGONG INT'L,N/A
836,CHINA RES POWER,HSI
839,CHINA EDU GROUP,N/A
853,MICROPORT,N/A
856,VSTECS,N/A
857,PETROCHINA,HSI
861,DC HOLDINGS,N/A
863,OSL GROUP,N/A
866,CHINA QINFA,N/A
867,CMS,N/A
868,XINYI GLASS,HSI
874,BAIYUNSHAN PH,N/A
880,SJM HOLDINGS,N/A
881,ZHONGSHENG HLDG,N/A
883,CNOOC,HSI
884,CIFI HOLD GP,N/A
902,HUANENG POWER,N/A
909,MING YUAN CLOUD,N/A
914,CONCH CEMENT,N/A
916,CHINA LONGYUAN,N/A
917,QUNABOX GROUP,N/A
918,MAJESTIC DRAGON,N/A
921,HISENSE HA,N/A
939,CCB,HSI
941,CHINA MOBILE,HSI
951,CHAOWEI POWER,N/A
956,CHINA SUNTIEN,N/A
960,LONGFOR GROUP,HSI
966,CHINA TAIPING,N/A
968,XINYI SOLAR,N/A
975,MONGOL MINING,N/A
981,SMIC,HSI
990,DEEP SOURCE,N/A
991,DATANG POWER,N/A
992,LENOVO GROUP,N/A
995,ANHUIEXPRESSWAY,N/A
998,CITIC BANK,N/A
999,XIAOCAIYUAN,N/A
1021,HUAYAN ROBOTICS,N/A
1024,KUAISHOU-W,HSI
1030,SEAZEN,N/A
1033,SINOPEC SSC,N/A
1038,CKI HOLDINGS,N/A
1044,HENGAN INT'L,N/A
1045,APT SATELLITE,N/A
1050,KARRIE INT'L,N/A
1055,CHINA SOUTH AIR,N/A
1057,ZHEJIANG SHIBAO,N/A
1060,DAMAI ENT,N/A
1066,WEIGAO GROUP,N/A
1070,TCL ELECTRONICS,N/A
1071,HUADIAN POWER,N/A
1072,DONGFANG ELEC,N/A
1088,CHINA SHENHUA,HSI
1093,CSPC PHARMA,HSI
1099,SINOPHARM,N/A
1104,APAC RESOURCES,N/A
1109,CHINA RES LAND,HSI
1112,H&H INTL HLDG,N/A
1113,CK ASSET,HSI
1114,BRILLIANCE CHI,N/A
1115,5100 XIZANG,N/A
1117,CH MODERN D,N/A
1128,WYNN MACAU,N/A
1133,HARBIN ELECTRIC,N/A
1138,COSCO SHIP ENGY,N/A
1141,CMBC CAPITAL,N/A
1142,E&P GLOBAL,N/A
1157,ZOOMLION,N/A
1164,CGN MINING,N/A
1167,JACOBIO-B,N/A
1171,YANKUANG ENERGY,N/A
1177,SBP GROUP,N/A
1179,HWORLD-S,N/A
1186,CHINA RAIL CONS,N/A
1187,COFOE MEDICAL,N/A
1193,CHINA RES GAS,N/A
1196,REALORD GROUP,N/A
1200,MIDLAND HOLDING,N/A
1208,MMG,N/A
1209,CHINA RES MIXC,N/A
1211,BYD COMPANY,HSI
1258,CHINFMINING,N/A
1276,HENGRUI PHARMA,N/A
1277,KINETIC DEV,N/A
1282,RENZE HARVEST,N/A
1286,IMPRO PRECISION,N/A
1288,ABC,HSI
1299,AIA,HSI
1300,TRIGIANT,N/A
1302,LIFETECH SCI,N/A
1304,FORTIOR,N/A
1308,SITC,N/A
1310,HKBN,N/A
1313,CR BLDG MAT TEC,N/A
1316,NEXTEER,N/A
1318,MAO GEPING,N/A
1333,BRETON,N/A
1336,NCI,N/A
1339,PICC GROUP,N/A
1347,HUA HONG SEMI,N/A
1357,MEITU,N/A
1359,CHINA CINDA,N/A
1361,361 DEGREES,N/A
1364,GUMING,N/A
1368,XTEP INT'L,N/A
1375,CC SECURITIES,N/A
1378,CHINAHONGQIAO,HSI
1384,DEEPEXI TECH,N/A
1385,SHANGHAI FUDAN,N/A
1396,GD-HKGBA HLDGS,N/A
1398,ICBC,HSI
1405,DPC DASH,N/A
1415,COWELL,N/A
1428,BRIGHT SMART,N/A
1440,STAR SHINE HLDG,N/A
1456,GLMS SEC,N/A
1478,Q TECH,N/A
1508,CHINA RE,N/A
1513,LIVZON PHARMA,N/A
1519,J&T EXPRESS-W,N/A
1523,PLOVER BAY TECH,N/A
1528,RS MACALLINE,N/A
1530,3SBIO,N/A
1548,GENSCRIPT BIO,N/A
1579,YIHAI INTL,N/A
1585,YADEA,N/A
1606,CDB LEASING,N/A
1609,STAR SPORTS MED,N/A
1610,COFCO JOYCOME,N/A
1617,NANFANG COMM,N/A
1618,MCC,N/A
1626,JIA YAO HLDGS,N/A
1635,DZUG,N/A
1645,HAINA INTEL,N/A
1651,TSUGAMI CHINA,N/A
1658,PSBC,HSI
1672,ASCLETIS-B,N/A
1675,ASIAINFO TECH,N/A
1681,CONSUN PHARMA,N/A
1686,SUNEVISION,N/A
1698,TME-SW,N/A
1709,DL HOLDINGS GP,N/A
1712,DRAGON MINING,N/A
1716,MOST KWAI CHUNG,N/A
1720,PUTIAN COMM,N/A
1729,TIME INTERCON,N/A
1735,CENTRAL NEW EGY,N/A
1757,GLOBAL CHI BC,N/A
1762,WANKA ONLINE,N/A
1766,CRRC,N/A
1768,BUSYMING,N/A
1772,GANFENGLITHIUM,N/A
1773,TIANLI INT HLDG,N/A
1776,GF SEC,N/A
1780,RONGZUN INT'L H,N/A
1783,ENVISION GREEN,N/A
1787,SD GOLD,N/A
1788,GUOTAI JUNAN I,N/A
1789,AK MEDICAL,N/A
1797,EAST BUY,N/A
1798,DATANG RENEW,N/A
1799,XINTE ENERGY,N/A
1800,CHINA COMM CONS,N/A
1801,INNOVENT BIO,HSI
1810,XIAOMI-W,HSI
1811,CGN NEW ENERGY,N/A
1815,EVEREST GOLD,N/A
1816,CGN POWER,N/A
1818,ZHAOJIN MINING,N/A
1833,PA GOODDOCTOR,N/A
1836,STELLA HOLDINGS,N/A
1851,GINGKO EDU,N/A
1858,CHUNLI MEDICAL,N/A
1860,MOBVISTA,N/A
1866,CHINA XLX FERT,N/A
1873,VIVA BIOTECH,N/A
1875,BIODLINK-B,N/A
1876,BUD APAC,N/A
1877,JUNSHI BIO,N/A
1879,XIZHI TECH-P,N/A
1880,CTG DUTY-FREE,N/A
1882,HAITIAN INT'L,N/A
1888,KB LAMINATES,N/A
